model	r	corners	blend	refused	warn	mesh	folds
c5_narrow_slot	5/4	tube=4 capTri=12 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=66 none=0	none	built	0	VALID v=310 e=924 f=616 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c5_narrow_slot	3/2	tube=0 capTri=12 cap=0 coons=0 saddle=0 flat=0 fan=4 weld=0 none=0	none	built	0	VALID v=90 e=264 f=176 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c5_narrow_slot	2	tube=0 capTri=12 cap=0 coons=0 saddle=0 flat=0 fan=4 weld=30 none=0	none	built	0	VALID v=182 e=540 f=360 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	2
c5_narrow_slot	5/2	tube=0 capTri=12 cap=0 coons=0 saddle=0 flat=0 fan=4 weld=28 none=0	none	built	0	VALID v=176 e=522 f=348 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	2
c6_over_round_cube	1	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=12 none=0	none	built	0	VALID v=84 e=246 f=164 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c6_over_round_cube	2	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=0 none=0	none	built	0	VALID v=48 e=138 f=92 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c6_over_round_cube	5/2	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=0 none=0	none	built	0	VALID v=48 e=138 f=92 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c6_over_round_cube	3	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=0 none=0	none	built	0	VALID v=38 e=108 f=72 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c6_over_round_cube	7/2	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=0 none=0	none	built	0	VALID v=80 e=234 f=156 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
c6_over_round_cube	4	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=0 none=0	none	built	0	VALID v=120 e=354 f=236 comp=1 bnd=0 nonman=0 nmvert=0 chi=2 genus=0 tol=1e-06	0
