# tile	case	family	fn	col	op	valid	bnd	nonman	nmvert	chi	genus	comp	wantcomp	v	e	f	folds	warn	corners	class	tier	want_class	verdict_flags	tol	runs	distinct	secs	bin	camera
AC02-R1-C3	AC02	crease	stock	3	chamfer	VALID	0	0	0	2	0	1	1	23	63	42	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=2 weld=1 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R2-C1	AC02	crease	8	1	original	VALID	0	0	0	2	0	1	1	8	18	12	0	0		-		none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R2-C2	AC02	crease	8	2	fillet	VALID	0	0	0	2	0	1	1	22	60	40	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=1 none=2	weld	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R2-C3	AC02	crease	8	3	chamfer	VALID	0	0	0	2	0	1	1	23	63	42	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=2 weld=1 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R3-C1	AC02	crease	19	1	original	VALID	0	0	0	2	0	1	1	8	18	12	0	0		-		none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R3-C2	AC02	crease	19	2	fillet	VALID	0	0	0	2	0	1	1	31	87	58	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=1 none=2	weld	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R3-C3	AC02	crease	19	3	chamfer	VALID	0	0	0	2	0	1	1	23	63	42	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=2 weld=1 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R4-C1	AC02	crease	32	1	original	VALID	0	0	0	2	0	1	1	8	18	12	0	0		-		none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R4-C2	AC02	crease	32	2	fillet	VALID	0	0	0	2	0	1	1	40	114	76	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=1 none=2	weld	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	none	OK	1e-6	1	1	0.11	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R4-C3	AC02	crease	32	3	chamfer	VALID	0	0	0	2	0	1	1	23	63	42	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=2 weld=1 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
